                     Ubicación                    |    Fecha   |   Hora   |           Actividad
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Se ha detectado que el árbol esta vacío.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo el panel mostrador.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Se ha detectado que el árbol esta vacío.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo el panel mostrador.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
